Frame,Class,Confidence,X_min,Y_min,X_max,Y_max
1,person,0.8572145104408264,123,407,208,624
1,person,0.6644206047058105,402,430,463,624
1,person,0.6362511515617371,2,408,60,554
1,person,0.6343034505844116,81,417,132,584
1,person,0.6192051768302917,522,392,562,473
1,person,0.5818520784378052,213,411,258,580
1,person,0.5456695556640625,245,408,303,589
1,person,0.47877854108810425,769,374,811,468
1,person,0.4308769106864929,1132,384,1194,521
1,bicycle,0.4145399332046509,1048,547,1277,718
1,person,0.3602464497089386,1063,377,1131,486
1,person,0.3453161418437958,1203,380,1277,530
1,person,0.29532837867736816,589,384,635,463
1,person,0.28889721632003784,696,402,728,464
1,person,0.284493088722229,479,393,513,455
1,umbrella,0.27593734860420227,682,249,1277,393
1,person,0.27342894673347473,1230,383,1279,527
1,umbrella,0.27284249663352966,681,249,1279,623
1,person,0.26870402693748474,1202,385,1246,491
2,person,0.8572145104408264,123,407,208,624
2,person,0.6644206047058105,402,430,463,624
2,person,0.6362511515617371,2,408,60,554
2,person,0.6343034505844116,81,417,132,584
2,person,0.6192051768302917,522,392,562,473
2,person,0.5818520784378052,213,411,258,580
2,person,0.5456695556640625,245,408,303,589
2,person,0.47877854108810425,769,374,811,468
2,person,0.4308769106864929,1132,384,1194,521
2,bicycle,0.4145399332046509,1048,547,1277,718
2,person,0.3602464497089386,1063,377,1131,486
2,person,0.3453161418437958,1203,380,1277,530
2,person,0.29532837867736816,589,384,635,463
2,person,0.28889721632003784,696,402,728,464
2,person,0.284493088722229,479,393,513,455
2,umbrella,0.27593734860420227,682,249,1277,393
2,person,0.27342894673347473,1230,383,1279,527
2,umbrella,0.27284249663352966,681,249,1279,623
2,person,0.26870402693748474,1202,385,1246,491
3,person,0.8687174916267395,120,409,208,626
3,person,0.6777902841567993,1,411,68,558
3,person,0.6590085625648499,402,430,461,624
3,person,0.6325923800468445,79,419,131,592
3,person,0.5964869260787964,240,408,304,591
3,person,0.5927507281303406,210,406,258,585
3,person,0.5823206305503845,521,391,561,468
3,person,0.5705849528312683,1203,382,1275,496
3,bicycle,0.5491089820861816,1035,544,1277,718
3,person,0.5215225219726562,1131,383,1191,487
3,person,0.5050697922706604,757,373,804,462
3,person,0.4538365304470062,1058,377,1135,486
